typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","70","BIH","Bosnia Herzegovina","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","9","false","-1","N/A",,"false","90","false",,"false",,"72","72","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","72","BWA","Botswana","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","5","false","-1","N/A",,"false","65","false",,"false",,"2861","2861","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","76","BRA","Brazil","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10953","false","-1","N/A",,"false","13865","false",,"false",,"5621673","5621673","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","92","VGB","Br. Virgin Isds","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1070","false","-1","N/A",,"false","694","false",,"false",,"36781","36781","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","96","BRN","Brunei Darussalam","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13","false","-1","N/A",,"false","187","false",,"false",,"52968","52968","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","100","BGR","Bulgaria","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2063","false","-1","N/A",,"false","1491","false",,"false",,"1040422","1040422","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","108","BDI","Burundi","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","16","false","-1","N/A",,"false","7","false",,"false",,"637","637","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","112","BLR","Belarus","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","799","false","-1","N/A",,"false","1043","false",,"false",,"81991","81991","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","116","KHM","Cambodia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","125","false","-1","N/A",,"false","770","false",,"false",,"12524","12524","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","120","CMR","Cameroon","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2559","false","-1","N/A",,"false","1169","false",,"false",,"145184","145184","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","124","CAN","Canada","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","14501","false","-1","N/A",,"false","13319","false",,"false",,"6384568","6384568","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","136","CYM","Cayman Isds","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","277","false","-1","N/A",,"false","155","false",,"false",,"28132","28132","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","148","TCD","Chad","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","542","false","-1","N/A",,"false","171","false",,"false",,"5411","5411","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","152","CHL","Chile","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1184","false","-1","N/A",,"false","1049","false",,"false",,"1048889","1048889","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","156","CHN","China","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","137074","false","-1","N/A",,"false","109091","false",,"false",,"57981919","57981919","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","170","COL","Colombia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1033","false","-1","N/A",,"false","951","false",,"false",,"789262","789262","0","true","false",
